Titulo,Anio,Tipo,Genero,Rating,Puntuacion,Pais_Origen,Idioma,Elenco,Director,Creador,Escritor,Duracion(min)
Character,2021.0,movie,Crime,8.3,46.0,Japan,Japanese,"Masaki Suda, Fukase, Mitsuki Takahata, Shidô Nakamura, Shun Oguri, Jun Hashizume, Hijiri Kojima, Yôji Matsuda, Ai Mikami, Tomu Miyazaki, Akiyoshi Nakao, Shigemitsu Ogi, Takashi Okabe, Ryushin Tei",Akira Nagai,Youki Kojima,"Takashi Nagasaki, Takashi Nagasaki, Anna Kawahara",125.0
8 Man,1992.0,movie,Action,5.5,93.0,Japan,Japanese,"Kai Shishido, Etsushi Takahashi, Sachiko Ayase, Osamu Ohtomo, Jô Shishido, Tadao Nakamaru, Daisuke Shima, Toshihide Wakamatsu, Mickey Curtis, Robert Axelrod, Steve Bulen, Richard Cansino, Lara Cody, Juliana Donald, Kerrigan Mahan, Edie Mirman, Mike Reynolds, Michael Sorich, Barry Stigler, Kirk Thornton, Dan Woren",Yasuhiro Horiuchi,Carole King,"Kazumasa Hirai, Jirô Kuwata, Junko Suzuki",83.0
What the #$*! Do We (K)now!?,2004.0,movie,Documentary,5.3,13432.0,United States,"English, German, Spanish","Marlee Matlin, Elaine Hendrix, John Ross Bowie, Robert Bailey Jr., Barry Newman, Larry Brandenburg, Daniela Serra, James Langston Drake, Michele Mariana, Armin Shimerman, Robert Blanche, Pavel Mikoloski, Alex Rogers, Tin Tran, Leslie Taylor, Sherilyn Lawson, Mercedes Rose, Joelle Anthony, Dawnn Pavlonnis, Danny Bruno, Josh Santos, Kerensa Gimre, Heather Robertson, Patti Collins, Tammy Mischke, Justin Canfield, Gordon Grobelny, Brent Pendleton, Jonathan Cammon, Val Landrum, Kyle Lunde, Gloria Manon, Robert McKeehen, Eric Newsome, Kirk Thornton, Michelle Ruff, Lia Sargent, Michael Sorich, Steve Blum, Tom Fahn, Allison Gottfried, David Albert, Joseph Dispenza, Amit Goswami, John Hagelin, Stuart Hameroff, J.Z. Knight, Miceal Ledwith, Daniel Monti, Andrew Newberg, Candace Pert, Jeffrey Satinover, William Tiller, Fred Alan Wolf, Marsha Clark, William Joseph Elk III, Evan Jacobs, Jeff S. Dodge, Carol Stanzione, Casper Van Dien, Tara Walker","William Arntz, Betsy Chasse, Mark Vicente",Christopher Franke,"William Arntz, Betsy Chasse, Matthew Hoffman",109.0
Class of Nuke 'Em High Part II: Subhumanoid Meltdown,1991.0,movie,Comedy,4.5,2177.0,United States,English,"Brick Bronsky, Lisa Gaye, Leesa Rowland, Michael Kurtz, Scott Resnick, Jacki Moen, Robert Dawson, Phil Rivo, Erica Frank, Sharon E. Gardner, Bea Lindgren, Lorraine Parchment, Troy Fromin, Tyler Bowe, Paul Borghese, Amy Hilbrich, Brad Roth, Nello Scadato, Jean Stewart, Gerrard Course, Lindsey Dawkins, Darla Haun, Lily Hayes Kaufman, Jason Vance Taylor, Alex Pirnie, William J. Kulzer, Kaptain, Madison Monk, Greta Rubens, Jon Albert, Patricia Kaufman, Jerri Greene, Patti Williford, Thomas Perry, Wendy Burnell, Shane Christopher, Ana Debasa, Jesse Cole Johnson, Andre Lambert, Jeanne LeGrand, Julie Nine, Louis Ortiz, Glorivic Parong, Suzanne Solari, Lisa Star, Saint Teresa Stone, Billie Taylor, Veronica Stork, Elizabeth Young, Kristina Krofft, Maraya Chase, Sophia Orkulas, Traci Mann, Walt Kubiak, Martin Sokol, Mark Richardson, Diana C. Skinner, Sheri Belfert, Bonnie Clarke, Heather Forsyth, Susan Jones, Trinity Loren, Sharon Mitchell, Phoebe Phaigh, Sandy Ruthowski, Nicole Vasilopoulos, Ryan Jones, Andy Jones, John Bausch, Gilbran Chong, Charlotte Kaufman, Lisbeth Kaufman, Shanah Richardson, Sherie Richardson, Cosimo Sherman, Josh Greenie, Brent Lichman, Wes Lichtman, Rocky Sherman, Jessi Woodhull, Shelby Shepard, Bullet Valmont, Liz Ard, Michael Cadava, Corey Hawk, Michael Herz, Lloyd Kaufman, Cynthia Windham",Eric Louzil,Bob Mithoff,"Lloyd Kaufman, Carl Morano, Matt Unger",96.0
The Fighter,2010.0,movie,Biography,7.8,351199.0,United States,English,"Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo, ""Mickey OKeefe"", Jack McGee, Melissa McMeekin, Bianca Hunter, Erica McDermott, Jill Quigg, Dendrie Taylor, ""Kate B. OBrien"", Jenna Lamia, Frank Renzulli, Paul Campbell, Caitlin Dwyer, Chanty Sok, Ted Arcidi, Ross Bickell, Sean Malone, José Antonio Rivera, Richard Farrell, Matthew Muzio, Steven Barkhimer, Art Ramalho, Sugar Ray Leonard, Jackson Nicoll, Alison Folland, Sean Patrick Doherty, Sue Costello, Thomas Benton, Ray Greenhalge, Tino Kimly, Epifanio Melendez, Jeremiah Kissel, Sean Eklund, Roeun Chea, Brian Nguyen, Rikki Kleiman, ""Michael DellOrto"", Paul Locke, Kim Carrell, Colin Hamell, Dale Place, Eddie Lee Anderson, Joe Lupino, Bonnie Aarons, Walter Driscoll, Matt Russell, A. Joseph Denucci, Dicky Eklund, George Michael Ward, Dicky Eklund Jr., Jack Greenhalge, Kevin Paige, David A. Ramalho Sr., Ziad Akl, Simon Hamlin, Gerald Greenhalge, Matthew Russell, Tommy Eklund, Rita Mercier, Deborah Bolanger, Kerry Moore, Philip Dorn Hebert, Raul Vera, Jack Lally, Carlos L. Smith, Lee Wesley, Hugh Long, Catherine Lynn Stone, Eric Weinstein, Bo Cleary, Anthony Molinari, Peter Cunningham, Miguel Espino, ""Anthony Ace Thomas"", Brian Christensen, Jen Weissenberg, Michael Buffer, Larry Merchant, Jim Lampley, Emanuel Steward, Roy Jones Jr., George Foreman, Don Dunphy, Barry Ace, Diana Afonso, Charlie Alejandro, Mel Alejandro, Cindi Alex, Christian Alvarado, Clyde Anthony, Kt Baldassaro, Joseph Basile, Irene Doukas Behrman, Joseph Bianchi-Coppola, Brina, Jodie Brunelle, Tommy Burke, Ryan Burton, Alex Bussell, Todd Byron, Gino Cafarelli, Katelyn Cahill, Al Conti, Jeffrey Corazzini, D.W. Cormier, Max Cross, Ryan Cultrera, Shawn Patrick Curley, Tommy Dallace, Christopher J. Davis, Nicholas Davis, Richard DeAgazio, Kevin DeCoste, Luisa Diaz, Ronald Diberto, Shawn Doherty, Uke Doiron, James Donnelly, Parvinder Dosanjh, Dani Druz, Ger Duany, Susan Farese, Mugisha Feruzi, Shawn Fogarty, Evan Fonseca, Rich Foster, John Franchi, Dennis Jay Funny, Ryan Gleason, Albert Gornie, Josh Gunderson, London Hall, Lindsay Hanzl, Becky Burne Harvey, Louis Holmes, Frankie Imbergamo, Anthony Jon, Ken Kansky, Mikey Kelley, Bobby Kenney, Kimko, Jeffery Kincannon, David A. Kirsch, Ren Knopf, Ryan LaMarca, Pat Lambert, Deme Lane, Justin James Lang, Henry Laun, Dennis Lauricella, Jordan Lazieh, Jacqueline Levasseur, Sal Lizard, Alicia Love, Tim MacLean, Jeffrey Malick, Michael Marchand, Conan Marchi, Rob Marin, Dan Marshall, Brett McCabe, Vanessa McCaffrey, Tricia Clift McCrone, Kenn Medeiros, Wayne R. Miller, Leigh Nicole, Joseph Oliveira, Thomas Olson, Bernie Ongewe, Richard Pacheco, Jim Patton, Henry Penzi, Americo Presciutti, David Pulson, Dannielle Rose, Eric Ryan, Robert Sabino, Megan Sacco, Salvatore Santone, Victoria Saunders, Hester Schell, James Shalkoski Jr., Ron Shimshilashvili, Joe Siriani, Briggon Snow, David Arthur Sousa, Kevin Stanton, David Struffolino, Ben Tanguay, Seamus Towle, Beau Turgeon, J.T. Turner, Vinnie Varone, Kayla Rae Vesce, ""Billy V Vigeant"", Micky Ward, Lindsey Warm, Hunter Wilichoski, Josh Woolstenhulme, Darryl Wooten",David O. Russell,Michael Brook,"Scott Silver, Paul Tamasy, Eric Johnson",116.0
7 Seconds,2005.0,video movie,Action,4.8,7153.0,"United Kingdom, Romania, Switzerland, United States",English,"Wesley Snipes, Tamzin Outhwaite, Deobia Oparei, Georgina Rylance, Pete Lee-Wilson, Serge Soric, Andrei Ionescu, Elias Ferkin, Bogdan Farkas, Tomi Cristin, Adrian Lukis, Stephen Boxer, Adrian Pintea, Corey Johnson, George Anton, Tamer Hassan, Lisa Lovbrand, Dan Badarau, William Armstrong, Martin Wheeler, Warren Derosa, Vasile Albinet, Zoltan Butuc, Radu Bânzaru, Florian Ghimpu, Hawk Younkins",Simon Fellows,"Barry Taylor, Neal Acree",Martin Wheeler,96.0
By Dawn's Early Light,1990.0,tv movie,Action,7.1,2898.0,United States,"English, Russian","Powers Boothe, Rebecca De Mornay, James Earl Jones, Martin Landau, Darren McGavin, Rip Torn, Jeffrey DeMunn, Peter MacNicol, Glenn Withrow, Ronald William Lawrence, Kieran Mulroney, Nicolas Coster, Ken Jenkins, Randal Patrick, Daniel Benzali, ""Robert OReilly"", Annabella Price, Ann Gillespie, Glenn Morshower, Dana Kimmell, Jon Paul Steuer, Danielle von Zerneck, Katherine Cortez, Jon Cedar, Paul Tompkins, Tony Rayner, Richard Speight Jr., T.R. Marino, Steve Eastin, Steve Rankin, Mike Gomez, Scott Trost, Pat Skipper, Adrian Ricard, Douglas Tolbert, Bill Moynihan, Dagmar Stansova, Ray Nazzari, Richard Assad, Andrew Divoff",Jack Sholder,Trevor Jones,"William Prochnau, Bruce Gilbert",100.0
Seeta Aur Geeta,1972.0,movie,Adventure,6.8,1818.0,India,Hindi,"Dharmendra, Sanjeev Kumar, Hema Malini, Manorama, Pratima Devi, Satyendra Kapoor, Kamal Kapoor, Ratnamala, Radhika Rani, Honey Irani, Dev Kishan, Alankar Joshi, Roopesh Kumar, Keshav Rana, Mushtaq Merchant, Deepak, M.B. Shetty, Suresh, Master Ravi, Abhi Bhattacharya, Asit Kumar Sen, Dulari, Asrani, Ashoo, Harbans Darshan M. Arora, Ravi Kumar, Mamaji, Surendra Rahi, Yasmin",Ramesh Sippy,Rahul Dev Burman,"Javed Akhtar, Javed Akhtar, Satish Bhatnagar",162.0
Strange Relations,2001.0,tv movie,Drama,7.6,768.0,"United Kingdom, United States",English,"Paul Reiser, Amber Sealey, Lachele Carl, George Wendt, Catherine Porter, Todd Boyce, Olympia Dukakis, Nicola Barnfield, Mary Cunningham, Julie Walters, Amy Robbins, Gregory Fossard, Rowan Humphries, Tony Maudsley, Suzanne Hitchmough, Georgina Smith, Ricky Tomlinson, Ian Puleston-Davies, Christopher Wright, Marcel Vormawah-Jones, Lee Gilbert, Kenny Thompson, Terry Gilbert, David Heath, Stephanie Roscoe, Marie Higham, Gareth Turtle, Sarah Baxendale, Tim Kazurinsky, Mark Lawrence",Paul Seed,Rupert Gregson-Williams,Tim Kazurinsky,120.0
Boycott,2001.0,tv movie,Drama,7.2,901.0,United States,English,"Jeffrey Wright, Terrence Howard, CCH Pounder, Carmen Ejogo, Reg E. Cathey, Brent Jennings, Iris Little Thomas, Shawn Michael Howard, Erik Dellums, Mike Hodge, Whitman Mayo, Walter Franks, Mert Hatfield, Tom Nowicki, Danny Nelson, E. Roger Mitchell, Heather Salmon, Clark Johnson, Jack Martin, Crystal Garrett, Thomas Jefferson Byrd, James Bigwood, Freda Scott Giles, Schveka Cooper-Brown, Ralph David Abernathy IV, Dan Biggers, Frank Hoyt Taylor, Toiya Thimbe Prather, Willy Andralliski, A.J. Jerrick, Sandra Ellis Lafferty, Ron Leggett, Ray Stoney, Lee Roy Giles, Elizabeth Omilami, Deborah Duke, Ginnie Randall, Robert C. Treveiler, Steve Coulter, Earl Potter, Michelle Benajmin-Patillo, Von Coulter, Omar J. Dorsey, Angela Elayne Gibbs, Geoffrey Williams, Willie Tennyson, Gerald Brown, James Mayberry, Richie Dye, Whitt Brantley, David Dwyer, Jeff Braun, Dolan Wilson, Lavon Lacey, James W. Holland, Janell McLeod, Aaron Neville, Heath Gunn, Sherri L. Walker, Patricia Gonzales, Molly Johnson, Ronald Elmer Johnson Jr., Aja Kendall, L. Warren Young, Marion Nelson, Jeffrey Pratt Gordon, Darwin T. Hobbs, Cassi Davis, Fred D. Gray, Kenric Richardson, Tracey Wootson, Edith Ivey, Sylvester Jenkins, Bill Erwin, Shannon Welles, Ken Sands, Marion Guyot, Dwayne Boyd, Russell Durham Comegys, GlenNeta Griffin, Bernard Holyfield, Ted Huckabee, Rick Kamen, Robert M. Perez, Theodore Perkins, Ernest Peterson, Xavier Rivers, Gloria Sauve, Sherri ScottNovoa, Jim Suss, Joe Walsh, Steve Warren",Clark Johnson,Joseph Vitarelli,"Stewart Burns, Herman Daniel Farrell, Timothy J. Sexton",118.0
